name,rating,industry,location,salary
Next Education India,3.4,EdTech,Hyderabad / Secunderabad +94 other locations,865
SFO Technologies,3.4,IT Services & Consulting,Bangalore / Bengaluru +16 other locations,865
Marsh McLennan,3.9,Financial Services,Mumbai +24 other locations,865
Guidehouse,3.6,Management Consulting,Chennai +19 other locations,865
Neel Metal Products,4.0,Metals & Mining,Gurgaon / Gurugram +36 other locations,862
Schlumberger,3.7,Oil & Gas,Pune +35 other locations,862
Tata Chemicals,4.0,Chemicals,Jamnagar +86 other locations,861
Vedanta Resources,3.7,Metals & Mining,Jharsuguda +71 other locations,860
Bosch Chassis Systems,4.1,Auto Components,Pune +23 other locations,860
Bayer,4.0,Bangalore / Bengaluru +111 other locations,,859
Deepak Fertilisers and Petrochemicals,4.1,Chemicals,Mumbai +56 other locations,857
Marks & Spencer,3.9,Retail,New Delhi +59 other locations,858
Tafe Motors & Tractors,3.9,Automobile,Bhopal +69 other locations,858
Amphenol Interconnect,4.2,Electrical Equipment,Pune +16 other locations,855
TNQ Tech Private Limited,3.5,Printing & Publishing,Chennai +14 other locations,854
Yashoda Hospitals,3.9,Healthcare,Hyderabad / Secunderabad +30 other locations,854
Medhaj Techno Concept,3.9,Other,Lucknow +145 other locations,853
Adani Enterprises,3.6,Metals & Mining,Ahmedabad +72 other locations,853
Psp Projects,3.9,Engineering & Construction,Ahmedabad +56 other locations,854
Technip Energies,4.1,Engineering & Construction,Noida +39 other locations,852
Xceedance,3.6,Internet,Gurgaon / Gurugram +13 other locations,852
HT Media,3.1,Media & Entertainment,New Delhi +42 other locations,850
Serco,4.3,Analytics & KPO,Mumbai +40 other locations,848
Consolidated Contractors,4.4,Engineering & Construction,Mumbai +56 other locations,848
Medha Servo Drives,4.2,Electrical Equipment,Hyderabad / Secunderabad +53 other locations,847
Rupeek,3.7,FinTech,Bangalore / Bengaluru +57 other locations,847
SKH Metals,4.0,Auto Components,Gurgaon / Gurugram +26 other locations,845
Michelin,3.8,Auto Components,Pune +46 other locations,843
Updater Services,3.7,Facility Management Services,Chennai +102 other locations,844
OCS Group,4.1,Facility Management Services,Mumbai +57 other locations,843
Future Focus Infotech,3.4,IT Services & Consulting,Bangalore / Bengaluru +57 other locations,841
Alok Industries,3.6,Fashion & Textile,Silvassa / Dadra & Nagar Haveli +35 other locations,840
Skipper,3.7,Industrial Machinery,Kolkata +83 other locations,839
Jabil Circuit India,3.9,Electronics Manufacturing,Pune +22 other locations,839
FastInfo,4.1,EdTech,Kolkata +8 other locations,836
Parekh Integrated Services,4.1,Logistics,Mumbai +72 other locations,836
Mahindra First Choice Wheels,3.8,Internet,Mumbai +117 other locations,836
Feedback Infrastructure Services,3.4,Engineering & Construction,Gurgaon / Gurugram +129 other locations,835
Navayuga Engineering Company,3.9,Engineering & Construction,Hyderabad / Secunderabad +70 other locations,834
Navayuga Engineering Company,3.9,Engineering & Construction,Hyderabad / Secunderabad +70 other locations,834
LEAD School,3.3,EdTech,Mumbai +103 other locations,833
Centum Electronics,3.6,Electronics Manufacturing,Bangalore / Bengaluru +18 other locations,832
Arvind Lifestyle Brands,4.0,Retail,Bangalore / Bengaluru +87 other locations,832
Magna International,3.8,Auto Components,Pune +21 other locations,832
Precision Infomatic M Pvt Ltd,3.8,IT Services & Consulting,Chennai +90 other locations,831
Bechtel,3.8,Engineering & Construction,Gurgaon / Gurugram +31 other locations,830
Steag Energy Services,4.2,Power,Jharsuguda +58 other locations,830
Ashirvad Pipes,3.8,Building Material,Bangalore / Bengaluru +103 other locations,829
ACL Digital,3.6,IT Services & Consulting,Bangalore / Bengaluru +25 other locations,825
CIEL HR,3.9,Recruitment,Bangalore / Bengaluru +103 other locations,826
Musashi Auto Parts,3.8,Auto Components,Rewari +25 other locations,826
C.R.I. Pumps,3.8,Industrial Machinery,Coimbatore +67 other locations,823
RAMTeCH Software Solutions,3.6,IT Services & Consulting,Hyderabad / Secunderabad +35 other locations,823
AuthBridge Research Services,3.3,IT Services & Consulting,Gurgaon / Gurugram +22 other locations,822
LanceSoft,3.3,Recruitment,Hyderabad / Secunderabad +28 other locations,821
Punj Lloyd,3.9,Engineering & Construction,Gurgaon / Gurugram +71 other locations,821
Nlb Services,3.6,IT Services & Consulting,Noida +21 other locations,819
H&M,3.9,Fashion & Textile,Bangalore / Bengaluru +58 other locations,819
Silaris Informations,3.1,BPO,New Delhi +22 other locations,820
Vijay Sales,4.1,Retail,Mumbai +50 other locations,818
Athena BPO,3.3,BPO,Mumbai +35 other locations,817
Tata Starbucks,4.1,Hospitality,Mumbai +52 other locations,814
Mahindra Tractors,4.1,Automobile,Nagpur +126 other locations,813
National Health Mission,3.4,Healthcare,Guwahati +271 other locations,812
Shilpa Medicare,3.4,Pharma,Hyderabad / Secunderabad +30 other locations,813
Target,4.2,Retail,Bangalore / Bengaluru +17 other locations,812
Panacea Biotec,3.7,Biotechnology,Baddi +67 other locations,808
Orient Electric,3.6,Consumer Electronics & Appliances,New Delhi +77 other locations,809
Epsilon,3.7,Marketing & Advertising,Bangalore / Bengaluru +14 other locations,808
Sanden Vikas,4.0,Auto Components,Faridabad +30 other locations,807
Royal Sundaram General Insurance,3.7,Insurance,Chennai +103 other locations,807
Greenlam Industries,4.1,Furniture & Furnishing,New Delhi +111 other locations,807
Fareportal,3.1,Internet,Gurgaon / Gurugram +13 other locations,806
MOURI Tech,3.6,IT Services & Consulting,Hyderabad / Secunderabad +9 other locations,806
"Commonwealth Bank of Australia, India",3.1,Financial Services,Bangalore / Bengaluru +14 other locations,805
Impact Infotech Pvt. Ltd.,3.5,IT Services & Consulting,Mumbai +72 other locations,802
Torry Harris Integration Solutions,4.3,IT Services & Consulting,Bangalore / Bengaluru +11 other locations,804
Jaya Hind Industries,3.7,Auto Components,Pune +37 other locations,802
National Payments Corporation of India,3.7,FinTech,Mumbai +11 other locations,801
Guardian India,3.8,Insurance,Chennai +13 other locations,801
National Payments Corporation of India,3.7,FinTech,Mumbai +11 other locations,801
Carborundum Universal Limited,3.8,Metals & Mining,Chennai +119 other locations,800
Intellipaat Software Solutions,3.7,Bangalore / Bengaluru +15 other locations,,799
Swaraj Tractors,4.1,Automobile,Mohali +98 other locations,799
FIITJEE,3.2,Education & Training,New Delhi +48 other locations,798
Ups Logistics,3.5,Logistics,Pune +37 other locations,798
HP India,3.9,Consumer Electronics & Appliances,Bangalore / Bengaluru +60 other locations,797
WSP,4.2,Management Consulting,Bangalore / Bengaluru +30 other locations,797
Rico Auto Industries,3.8,Auto Components,Gurgaon / Gurugram +30 other locations,799
Ageas Federal Life Insurance,3.6,Insurance,Mumbai +124 other locations,798
Ramco Systems,3.9,Software Product,Chennai +28 other locations,796
Northcorp Software,4.8,IT Services & Consulting,Gurgaon / Gurugram +7 other locations,803
Lumen Technologies,3.9,Hardware & Networking,Bangalore / Bengaluru +13 other locations,796
Tata Hitachi Construction Machinery,3.9,Industrial Machinery,Kharagpur +73 other locations,796
Bank of India,3.8,Banking,Mumbai +172 other locations,795
Medusind Solutions,3.4,IT Services & Consulting,Chennai +11 other locations,794
Sona Comstar,4.0,Auto Components,Gurgaon / Gurugram +23 other locations,794
Shaktiman Tirth Agro Technology,3.9,Industrial Machinery,Rajkot +63 other locations,794
Ford Business Solutions,4.1,IT Services & Consulting,Chennai +51 other locations,793
Qinecsa Solutions,2.9,Clinical Research,Mysuru / Mysore +19 other locations,792
Parag Milk Foods,4.2,Food Processing,Mumbai +89 other locations,792
Acme Cleantech Solutions,3.9,Industrial Machinery,Gurgaon / Gurugram +97 other locations,792
Thryve Digital,3.9,IT Services & Consulting,Chennai +7 other locations,791
Apar Industries,4.1,Semiconductors,Mumbai +68 other locations,790
Fluor Corporation,4.1,Engineering & Construction,Gurgaon / Gurugram +24 other locations,790
M3M India,4.0,Real Estate,Gurgaon / Gurugram +9 other locations,788
MAS Financial Services,3.7,NBFC,Ahmedabad +133 other locations,787
Skill Lync,3.2,EdTech,Chennai +17 other locations,787
JSW Paints,3.8,Chemicals,Mumbai +155 other locations,787
Freshworks,3.4,Software Product,Chennai +47 other locations,787
Fedbank Financial Services,4.0,NBFC,Mumbai +160 other locations,785
IDEMIA,3.8,Electronics Manufacturing,Noida +48 other locations,783
Investors Clinic,3.8,Real Estate,Noida +33 other locations,783
eTeam,3.2,Recruitment,Bangalore / Bengaluru +20 other locations,783
Intex Technologies,3.9,Consumer Electronics & Appliances,New Delhi +75 other locations,782
Union Bank of India,3.8,Banking,Mumbai +146 other locations,783
Bpo Convergence,3.5,BPO,Hyderabad / Secunderabad +37 other locations,782
Edubridge Learning,4.0,EdTech,Mumbai +63 other locations,782
Eris Lifesciences,3.7,Pharma,Ahmedabad +88 other locations,782
Rohan Builders,4.1,Real Estate,Pune +68 other locations,783
Huhtamaki,4.0,Packaging,Mumbai +41 other locations,781
Nexdigm,3.8,Management Consulting,Pune +12 other locations,779
Integra Software Services,3.8,IT Services & Consulting,Pondicherry / Puducherry +18 other locations,779
Forever Living Products,4.3,Fitness & Wellness,Mumbai +96 other locations,775
Tata Power Solar,4.1,Power,Bangalore / Bengaluru +85 other locations,776
Rodic Consultants,4.2,Engineering & Construction,Patna +131 other locations,775
NTT,3.8,IT Services & Consulting,Mumbai +41 other locations,774
Border Security Force,4.4,Law Enforcement & Security,New Delhi +109 other locations,775
BDR Pharmaceuticals International,4.2,Pharma,Vadodara +25 other locations,774
Artech Infosystems,3.3,Recruitment,Bangalore / Bengaluru +21 other locations,774
India Shelter Finance Corporation,3.8,NBFC,Gurgaon / Gurugram +171 other locations,773
Better.com,3.0,Financial Services,Gurgaon / Gurugram +10 other locations,773
Motherson Sumi Wiring,3.7,Electrical Equipment,Noida +39 other locations,774
Greaves Cotton,4.0,Auto Components,Aurangabad +45 other locations,772
Porter,3.7,Internet,Bangalore / Bengaluru +30 other locations,771
Bill Gosling Outsourcing India,3.5,BPO,Gurgaon / Gurugram +13 other locations,771
Cigniti Technologies,3.7,IT Services & Consulting,Hyderabad / Secunderabad +9 other locations,769
Luxoft,3.6,IT Services & Consulting,Bangalore / Bengaluru +23 other locations,770
Alorica,3.0,BPO,Bangalore / Bengaluru +16 other locations,770
Teamware Solutions,4.1,Recruitment,Hyderabad / Secunderabad +26 other locations,767
Linde India,3.9,Oil & Gas,Vadodara +54 other locations,767
Dunzo,3.4,Internet,Bangalore / Bengaluru +20 other locations,766
Sunbeam Auto,3.8,Auto Components,Gurgaon / Gurugram +29 other locations,766
IBS Software Services,3.6,Software Product,Kochi +18 other locations,765
Wipro PARI,3.3,Industrial Automation,Pune +25 other locations,764
Hitachi,4.0,Industrial Machinery,Bangalore / Bengaluru +83 other locations,764
Truhome Finance,3.7,FinTech,Mumbai +150 other locations,762
Metso,4.1,Metals & Mining,Alwar +47 other locations,762
Poly Medicure,3.6,Medical Equipment,Faridabad +42 other locations,760
1 India Family Mart,4.6,Retail,New Delhi +99 other locations,758
Baxter International,3.8,Healthcare,Bangalore / Bengaluru +31 other locations,758
JK Paper,3.9,Pulp & Paper,Rayagada +52 other locations,756
Sutherland Healthcare Solutions,3.7,Analytics & KPO,Hyderabad / Secunderabad +12 other locations,756
Franklin Templeton Investments,4.0,Financial Services,Hyderabad / Secunderabad +32 other locations,756
Clarivate,3.7,Analytics & KPO,Bangalore / Bengaluru +16 other locations,756
Eveready Industries,3.8,Consumer Electronics & Appliances,Kolkata +104 other locations,755
Casagrand,3.8,Real Estate,Chennai +17 other locations,755
Zydus Healthcare,3.9,Pharma,Mumbai +104 other locations,755
Engineers India,4.2,New Delhi +83 other locations,,754
Satya MicroCapital,3.6,Financial Services,New Delhi +173 other locations,754
Orion Edutech,3.1,EdTech,Kolkata +114 other locations,753
Indo Autotech,3.9,Auto Components,Faridabad +32 other locations,755
Qualitest,3.6,IT Services & Consulting,Bangalore / Bengaluru +21 other locations,753
Advik Hi Tech,3.7,Auto Components,Pune +27 other locations,752
Ather Energy,4.1,Automobile,Bangalore / Bengaluru +61 other locations,751
THE LEELA PALACES HOTELS & RESORTS,4.0,Hospitality,New Delhi +32 other locations,751
Maveric Systems,3.3,IT Services & Consulting,Chennai +10 other locations,749
Rallis India,4.1,Agro Chemicals,Ankleshwar +112 other locations,750
Microtek International,3.7,Consumer Electronics & Appliances,New Delhi +116 other locations,751
DBG Technology,3.6,Electronics Manufacturing,Rewari +24 other locations,749
K Raheja Corp,4.3,Real Estate,Mumbai +18 other locations,748
SLK Global Services,3.8,BPO,Bangalore / Bengaluru +8 other locations,748
CADD Centre Training Services,4.0,Education & Training,Chennai +133 other locations,748
Rockwell Automation,3.6,Industrial Automation,Pune +22 other locations,747
Zidio Development,4.5,IT Services & Consulting,Bangalore / Bengaluru +34 other locations,747
First Advantage,3.5,Recruitment,Bangalore / Bengaluru +12 other locations,746
UKG,3.0,Software Product,Noida +11 other locations,747
RR kabel,4.1,Electrical Equipment,Vadodara +110 other locations,745
Careernet,3.6,Recruitment,Bangalore / Bengaluru +23 other locations,744
Victora Auto Private Limited,3.9,Auto Components,Faridabad +28 other locations,744
Pratap Technocrats,3.7,Telecom,Ahmedabad +116 other locations,743
Quatrro Business Support Services,3.3,Gurgaon / Gurugram +13 other locations,,743
Syneos Health,3.6,Clinical Research,Gurgaon / Gurugram +13 other locations,744
PUMA,4.1,Fashion & Textile,Bangalore / Bengaluru +95 other locations,742
Cohance Lifesciences,3.8,Pharma,Hyderabad / Secunderabad +22 other locations,741
JioStar,3.5,Mumbai +43 other locations,,743
Wipro Consumer Care & Lighting,3.7,FMCG,Bangalore / Bengaluru +112 other locations,740
Samsung E&A,4.0,Engineering & Construction,Noida +48 other locations,738
BNP Paribas India Solutions,3.7,IT Services & Consulting,Mumbai +9 other locations,738
KMV Projects Limited,4.3,Engineering & Construction,Hyderabad / Secunderabad +66 other locations,816
Vertex Customer Solutions,3.6,IT Services & Consulting,Chennai +33 other locations,736
Times Internet,3.4,Internet,Noida +24 other locations,736
Simplilearn,3.2,EdTech,Bangalore / Bengaluru +9 other locations,737
Fleetguard Filters,4.3,Auto Components,Pune +85 other locations,737
Prama Hikvision India,3.6,Electronics Manufacturing,Mumbai +53 other locations,735
Toyo Engineering,4.0,Engineering & Construction,Mumbai +40 other locations,734
ffreedom app,3.5,Internet,Bangalore / Bengaluru +26 other locations,733
Progressive Infotech,3.3,IT Services & Consulting,Noida +64 other locations,733
Lea Associates South Asia,4.2,Engineering & Construction,New Delhi +134 other locations,734
Mswipe Technologies,3.2,FinTech,Mumbai +96 other locations,733
Zudio,3.9,Retail,New Delhi +130 other locations,733
Chennai Radha Engineering Works,3.9,Engineering & Construction,Chennai +57 other locations,734
HSBC Software Development,4.1,Pune +8 other locations,,731
Somany Ceramics,4.1,Building Material,New Delhi +81 other locations,731
Denave,3.5,Marketing & Advertising,Noida +66 other locations,731
Wipro Infrastructure Engineering,3.7,Industrial Machinery,Bangalore / Bengaluru +38 other locations,731
McDermott International,4.2,Engineering & Construction,Chennai +32 other locations,730
Creative Synergies Group,4.1,IT Services & Consulting,Bangalore / Bengaluru +9 other locations,732
Indusind Marketing & Financial Services,3.8,Financial Services,Chennai +268 other locations,729
Hitachi Digital Services,3.5,IT Services & Consulting,Hyderabad / Secunderabad +14 other locations,728
Nibav Lifts,3.9,Industrial Machinery,Chennai +39 other locations,728
Action Construction Equipment,3.7,Industrial Machinery,Faridabad +59 other locations,726
Radical Minds,2.8,BPO,Gurgaon / Gurugram +13 other locations,727
Wakefit,3.9,Furniture & Furnishing,Bangalore / Bengaluru +49 other locations,726
RenewBuy,3.4,Internet,Gurgaon / Gurugram +102 other locations,726
Hire In Global,4.9,Mumbai +46 other locations,,727
Principal Global Services,3.8,Insurance,Pune +11 other locations,726
Praj Industries,4.0,Biotechnology,Pune +44 other locations,725
Finolex Cables,3.7,Electrical Equipment,Pune +75 other locations,724
Bitwise Solutions,3.9,IT Services & Consulting,Pune +8 other locations,724
Creambell,3.9,Food Processing,New Delhi +104 other locations,724
Assystem,3.4,Power,Chennai +67 other locations,724
Axtria,2.9,Software Product,Gurgaon / Gurugram +8 other locations,722
Central Industrial Security Force,4.3,Law Enforcement & Security,New Delhi +88 other locations,722
IFFCO,4.0,Agro Chemicals,New Delhi +108 other locations,721
Sharda Motor Industries,3.8,Auto Components,Chennai +26 other locations,721
Brane Enterprises,2.0,Software Product,Hyderabad / Secunderabad +12 other locations,721
Amadeus,3.7,Software Product,Bangalore / Bengaluru +14 other locations,720
Veradigm,3.8,Software Product,Pune +8 other locations,721
Novac Technology Solutions,3.6,Software Product,Chennai +25 other locations,719
ESL Steel,3.8,Iron & Steel,Bokaro +24 other locations,719
Waaree Energies,4.0,Power,Surat +50 other locations,719
India Cements,3.8,Building Material,Chennai +88 other locations,717
Allied Digital Services,3.2,IT Services & Consulting,Mumbai +53 other locations,716
Bses Rajdhani Power,3.8,Power,New Delhi +20 other locations,717
Ask Automotive,4.1,Auto Components,Gurgaon / Gurugram +27 other locations,716
Zuventus Healthcare,3.8,Pharma,Mumbai +91 other locations,716
Credence Resource Management,3.2,BPO,Pune +9 other locations,716
Fidelity International,3.6,Financial Services,Gurgaon / Gurugram +13 other locations,716
Hilti,3.5,Industrial Machinery,Gurgaon / Gurugram +46 other locations,715
Reliance Smart,4.1,Retail,Hyderabad / Secunderabad +239 other locations,714
Jai Balaji Group,3.2,Iron & Steel,Durgapur +37 other locations,714
Galfar,3.9,Engineering & Construction,Muscat +41 other locations,715
Forvia Hella,3.9,Auto Components,Pune +32 other locations,714
GirnarSoft,3.6,IT Services & Consulting,Gurgaon / Gurugram +51 other locations,712
LifeCell International,3.3,Biotechnology,Chennai +74 other locations,712
Primus Global Technologies,3.7,IT Services & Consulting,Bangalore / Bengaluru +28 other locations,712
XcelServ Solutions,4.4,IT Services & Consulting,New Delhi +33 other locations,711
Rashmi Group,3.7,Iron & Steel,Kharagpur +28 other locations,711
Vijaya Diagnostic Centre,3.9,Healthcare,Hyderabad / Secunderabad +37 other locations,711
Z X Learning,4.4,EdTech,Lucknow +89 other locations,711
Sykes Business Services Of India,3.3,BPO,Hyderabad / Secunderabad +18 other locations,710
UnitedLex,2.8,Analytics & KPO,New Delhi +10 other locations,711
Travel Food Services Ltd,4.0,Hospitality,Mumbai +33 other locations,711
Sun Life Financial,3.9,Financial Services,Gurgaon / Gurugram +12 other locations,709
Mott MacDonald,4.1,Management Consulting,Mumbai +49 other locations,709
Five-Star Business Finance,4.2,NBFC,Chennai +228 other locations,710
Integreon,3.2,Legal,Mumbai +12 other locations,707
VA Tech Wabag,3.8,Waste Management,Chennai +52 other locations,706
DuPont,4.2,Waste Management,Hyderabad / Secunderabad +47 other locations,706
Wipro Digital,3.6,IT Services & Consulting,Bangalore / Bengaluru +29 other locations,706
Hapag-Lloyd,3.8,IT Services & Consulting,Chennai +16 other locations,705
uFaber,2.4,Education & Training,Mumbai +24 other locations,705
EMERSON PROCESS MANAGEMENT,4.0,Industrial Machinery,Pune +30 other locations,704
Bunge India,4.0,Food Processing,Mohali +68 other locations,703
Isuzu Motors,4.1,Automobile,Chennai +38 other locations,705
Rackspace,3.7,IT Services & Consulting,Gurgaon / Gurugram +15 other locations,703
Amber Enterprises India,3.9,Electrical Equipment,Gurgaon / Gurugram +43 other locations,703
CMS Computers Limited (INDIA),3.7,IT Services & Consulting,New Delhi +75 other locations,702
Wapcos,3.4,Engineering & Construction,New Delhi +143 other locations,702
TO THE NEW,3.6,IT Services & Consulting,Noida +19 other locations,702
Vastu Housing Finance,4.2,Financial Services,Mumbai +160 other locations,701
National Informatics Centre,3.9,Government,New Delhi +77 other locations,701
Religare,3.7,Financial Services,New Delhi +96 other locations,700
Reliance BP Mobility,3.6,Oil & Gas,Mumbai +99 other locations,701
Embibe,3.5,EdTech,Bangalore / Bengaluru +20 other locations,698
Zee Entertainment Enterprises,3.5,Media & Entertainment,Mumbai +34 other locations,698
OLX,3.7,Internet,Gurgaon / Gurugram +56 other locations,698
Deepak Nitrite,4.0,Chemicals,Vadodara +19 other locations,697
People Tech Group,2.5,IT Services & Consulting,Hyderabad / Secunderabad +12 other locations,697
Deepak Nitrite,4.0,Chemicals,Vadodara +19 other locations,697
Alivus Life Sciences,3.8,Pharma,Ankleshwar +22 other locations,696
India Japan Lighting,4.2,Auto Components,Chennai +28 other locations,696
Biba Apparels,3.5,Fashion & Textile,New Delhi +96 other locations,695
Rane (Madras),3.8,Auto Components,Chennai +31 other locations,695
Vaaman Engineers,3.8,Engineering & Construction,Jharsuguda +44 other locations,694
Toppr,3.4,EdTech,Mumbai +42 other locations,693
Manipal University,3.9,Education & Training,Jaipur +113 other locations,690
Adidas,3.9,Fashion & Textile,Gurgaon / Gurugram +71 other locations,690
ManipalCigna Health Insurance,3.8,Insurance,Mumbai +123 other locations,689
NecLife,3.6,Pharma,Chandigarh +29 other locations,688
Evision Technoserve,4.8,Pune +44 other locations,,688
Dineshchandra R. Agrawal Infracon,4.1,Engineering & Construction,Ahmedabad +74 other locations,691
Steel Authority Of India,4.1,Iron & Steel,Bokaro +46 other locations,688
Boeing,3.8,Aviation,Bangalore / Bengaluru +12 other locations,688
Livguard,3.9,Electronics Manufacturing,Gurgaon / Gurugram +85 other locations,687
McKinsey & Company,3.8,Management Consulting,Gurgaon / Gurugram +25 other locations,687
Greenply,3.8,Furniture & Furnishing,Kolkata +89 other locations,688
Molex,3.8,Semiconductors,Bangalore / Bengaluru +18 other locations,685
Molex,3.8,Semiconductors,Bangalore / Bengaluru +18 other locations,685
Bajaj Capital Insurance Broking Limited,3.9,Insurance,New Delhi +125 other locations,684
BDO,3.2,Mumbai +32 other locations,,683
RITES,3.9,Engineering & Construction,Gurgaon / Gurugram +82 other locations,683
V-Trans,3.7,Logistics,Mumbai +89 other locations,682
Neuland Laboratories,4.1,Pharma,Hyderabad / Secunderabad +7 other locations,682
Celebal Technologies,3.1,Software Product,Jaipur +22 other locations,680
Bikanervala,3.9,FMCG,New Delhi +67 other locations,680
Kurlon,4.3,Furniture & Furnishing,Bangalore / Bengaluru +87 other locations,680
Aequs,3.4,Defence & Aerospace,Belgaum +13 other locations,680
Ag Industries,4.0,Auto Components,Gurgaon / Gurugram +31 other locations,680
Mynd Solutions Private,3.6,BPO,Gurgaon / Gurugram +33 other locations,679
Smollan Group,3.9,Marketing & Advertising,Mumbai +127 other locations,677
TCNS Clothing Company,4.1,Fashion & Textile,New Delhi +108 other locations,678
Ameriprise Financial,3.6,Financial Services,Gurgaon / Gurugram +11 other locations,677
BDO India LLP,3.3,Accounting & Auditing,Mumbai +35 other locations,677
Consero Global Solutions,3.5,Financial Services,Bangalore / Bengaluru +10 other locations,675
TDK India Private Limited,3.9,Semiconductors,Nashik +25 other locations,675
Rentokil Pest Control,3.6,Facility Management Services,Mumbai +108 other locations,676
Transsion,3.9,Consumer Electronics & Appliances,Noida +64 other locations,675
BSH Home Appliances Group,3.9,Consumer Electronics & Appliances,Bangalore / Bengaluru +56 other locations,674
Bristlecone,3.6,IT Services & Consulting,Bangalore / Bengaluru +15 other locations,674
Experis IT,3.0,Recruitment,Bangalore / Bengaluru +35 other locations,673
Care Hospital,4.1,Healthcare,Hyderabad / Secunderabad +41 other locations,673
HSBC Bank,3.9,Banking,Bangalore / Bengaluru +37 other locations,672
Future Supply Chain Solutions,4.3,Logistics,Nagpur +68 other locations,671
Tavant Technologies,3.8,IT Services & Consulting,Bangalore / Bengaluru +15 other locations,672
Ugro Capital,3.7,NBFC,Mumbai +149 other locations,672
Sterlite Power,4.0,Power,New Delhi +75 other locations,671
Lovely Professional University,3.4,Education & Training,Jalandhar +28 other locations,669
Google Operations Center,3.6,Internet,Hyderabad / Secunderabad +17 other locations,669
ASG Eye Hospital,3.4,Healthcare,Jaipur +74 other locations,669
Ramkrishna Forgings,3.5,Auto Components,Jamshedpur +24 other locations,668
Lenovo,4.0,Consumer Electronics & Appliances,Bangalore / Bengaluru +81 other locations,668
Aisin Automotive Haryana,4.1,Auto Components,Rohtak +27 other locations,668
Nvidia,3.5,Hardware & Networking,Pune +20 other locations,667
Snapdeal,3.8,Internet,Gurgaon / Gurugram +31 other locations,667
Turtlemint,3.6,Internet,Mumbai +109 other locations,666
Testbook.com,3.4,EdTech,Noida +31 other locations,666
Neeyamo Enterprise Solutions,3.6,Madurai +10 other locations,,665
The Akshaya Patra Foundation,4.4,Non-Profit,Bangalore / Bengaluru +66 other locations,665
Flash Electronics,3.5,Electronics Manufacturing,Pune +22 other locations,665
Protiviti,3.1,Management Consulting,Gurgaon / Gurugram +26 other locations,665
Kutumbh Care,4.0,Recruitment,Noida +160 other locations,664
Mitsubishi Electric India,4.2,Electronics Manufacturing,Pune +49 other locations,663
Redcliffe Labs,3.9,Healthcare,New Delhi +80 other locations,663
Gartner,3.8,Management Consulting,Gurgaon / Gurugram +18 other locations,663
Moglix,3.4,Internet,Noida +38 other locations,663
Universal Sompo General Insurance,4.4,Insurance,Mumbai +109 other locations,666
Thriveni Earthmovers,4.0,Metals & Mining,Jamshedpur +43 other locations,662
LG Soft India,3.0,Consumer Electronics & Appliances,Bangalore / Bengaluru +15 other locations,662
Cohesity,3.8,Software Product,Pune +44 other locations,662
Raychem RPG,3.7,Electrical Equipment,Mumbai +29 other locations,661
Medreich,3.8,Pharma,Bangalore / Bengaluru +14 other locations,662
Bayer Crop Science Vegetable Seeds,4.2,Bangalore / Bengaluru +133 other locations,,661
NSB Bpo Solutions,2.9,BPO,Noida +84 other locations,661
Quess IT Staffing Solutions,3.2,Bangalore / Bengaluru +55 other locations,,661
DAV Public School,4.0,Education & Training,New Delhi +152 other locations,661
Writer Corporation,3.4,Facility Management Services,Mumbai +83 other locations,660
Csc E Governance Services,3.8,Government,New Delhi +199 other locations,660
Patel Engineering,4.0,Engineering & Construction,Mumbai +66 other locations,659
Delta Electronics,4.0,Electronics Manufacturing,Bangalore / Bengaluru +42 other locations,660
Government of India,4.2,Government,New Delhi +157 other locations,658
Caparo Engineering India,4.0,Auto Components,Chennai +34 other locations,658
Ramky Infrastructure,4.2,Engineering & Construction,Hyderabad / Secunderabad +50 other locations,657
Prince Pipes & Fittings,4.1,Building Material,Mumbai +71 other locations,657
Bharat Serums and Vaccines,4.0,Pharma,Mumbai +61 other locations,657
Wuerth,3.7,Industrial Machinery,Pune +64 other locations,656
L&T Power,3.9,Power,Vadodara +95 other locations,656
Titan Eye Plus,4.2,Other,Kolkata +128 other locations,657
Orient Cement,4.5,Building Material,Hyderabad / Secunderabad +68 other locations,656
Apple,4.3,Consumer Electronics & Appliances,Bangalore / Bengaluru +103 other locations,655
Amrit Cement,4.0,Building Material,Guwahati +46 other locations,656
HRH Next Services,3.0,BPO,Hyderabad / Secunderabad +21 other locations,655
Transrail Lighting,4.0,Engineering & Construction,Mumbai +90 other locations,655
Redington,4.0,Hardware & Networking,Chennai +48 other locations,654
Visteon,3.3,Software Product,Chennai +21 other locations,654
Cogoport,3.2,Internet,Mumbai +13 other locations,654
Birla Opus Paints,4.0,Chemicals,Mumbai +208 other locations,654
Writer Information Management Services,3.2,BPO,Mumbai +62 other locations,654
BASF,4.2,Chemicals,Mumbai +88 other locations,653
Micro Turners,3.9,Auto Components,Baddi +40 other locations,652
Sandvik Asia,4.1,Industrial Machinery,Pune +37 other locations,652
TTK Prestige,3.8,Consumer Electronics & Appliances,Bangalore / Bengaluru +80 other locations,651
Videocon d2h,3.9,Internet,New Delhi +116 other locations,650
IHG,3.7,Hospitality,New Delhi +45 other locations,648
Doosan Power Systems,4.3,Power,Gurgaon / Gurugram +30 other locations,650
Mindsprint,3.7,IT Services & Consulting,Chennai +7 other locations,649
PPG Asian Paints,3.9,Chemicals,Mumbai +54 other locations,648
Goodyear,3.5,Auto Components,Aurangabad +64 other locations,648
