name,rating,industry,location,salary
Tata Projects,4.2,Engineering & Construction,Mumbai +276 other locations,6.3k
FIS,3.9,FinTech,Pune +60 other locations,6.2k
Coforge,3.2,IT Services & Consulting,Noida +105 other locations,6.1k
L&T Technology Services,3.1,IT Services & Consulting,Bangalore / Bengaluru +94 other locations,6.1k
IIFL Finance,4.0,NBFC,Mumbai +788 other locations,6k
Bajaj Life Insurance,3.9,Insurance,Pune +595 other locations,6k
Oracle,3.5,Software Product,Bangalore / Bengaluru +56 other locations,6k
Indian Army,4.7,Defence & Aerospace,New Delhi +358 other locations,6k
HCL Group,3.5,IT Services & Consulting,Chennai +96 other locations,6k
JLL,4.1,Real Estate,Gurgaon / Gurugram +83 other locations,5.9k
Omega Healthcare,3.7,BPO,Chennai +67 other locations,5.9k
Muthoot Finance,3.6,NBFC,Bangalore / Bengaluru +757 other locations,5.9k
Cholamandalam Investment & Finance,3.8,Financial Services,Chennai +806 other locations,5.9k
eClerx,3.1,IT Services & Consulting,Pune +31 other locations,5.8k
Virtusa Consulting Services,3.7,IT Services & Consulting,Hyderabad / Secunderabad +54 other locations,5.7k
Udaan,4.0,Internet,Bangalore / Bengaluru +367 other locations,5.7k
HSBC Group,3.9,Financial Services,Bangalore / Bengaluru +63 other locations,5.6k
Indiamart Intermesh,3.6,Internet,Noida +168 other locations,5.6k
DMart,3.9,Retail,Mumbai +242 other locations,5.6k
Aurobindo Pharma,4.0,Pharma,Hyderabad / Secunderabad +114 other locations,5.5k
Siemens,4.0,Industrial Automation,Bangalore / Bengaluru +150 other locations,5.4k
Shapoorji Pallonji Group,4.1,Engineering & Construction,Mumbai +188 other locations,5.4k
SMFG India Credit,3.9,NBFC,Mumbai +578 other locations,5.4k
Standard Chartered,3.6,Banking,Chennai +68 other locations,5.4k
CGI Group,4.0,IT Services & Consulting,Bangalore / Bengaluru +43 other locations,5.4k
BigBasket,3.9,Internet,Bangalore / Bengaluru +136 other locations,5.4k
ICICI Lombard General Insurance Company,3.6,Insurance,Mumbai +306 other locations,5.4k
Access Healthcare,3.7,Healthcare,Chennai +58 other locations,5.4k
GlobalLogic,3.5,IT Services & Consulting,Hyderabad / Secunderabad +59 other locations,5.4k
Firstsource Solutions,3.5,BPO,Bangalore / Bengaluru +70 other locations,5.4k
Manappuram Finance,3.9,NBFC,Bangalore / Bengaluru +625 other locations,5.3k
Apollo Hospitals,4.0,Healthcare,Chennai +226 other locations,5.3k
Mahindra Finance,3.9,NBFC,Mumbai +716 other locations,5.3k
Bosch Global Software Technologies,3.8,IT Services & Consulting,Bangalore / Bengaluru +47 other locations,5.3k
UST,3.7,IT Services & Consulting,Bangalore / Bengaluru +49 other locations,5.3k
Ashok Leyland,4.0,Automobile,Chennai +244 other locations,5.2k
Citicorp,3.7,Financial Services,Pune +67 other locations,5.2k
Cyient,3.6,IT Services & Consulting,Hyderabad / Secunderabad +45 other locations,5.1k
PolicyBazaar,3.7,Internet,Gurgaon / Gurugram +135 other locations,5.1k
Hero MotoCorp,4.1,Automobile,Gurgaon / Gurugram +360 other locations,5.1k
Swiggy,3.7,Internet,Bangalore / Bengaluru +226 other locations,5.1k
JustDial,3.5,Internet,Noida +220 other locations,5k
SBI Cards & Payment Services,3.7,Financial Services,Gurgaon / Gurugram +427 other locations,4.9k
Kalpataru Projects International,4.1,Engineering & Construction,Mumbai +306 other locations,4.9k
BNY,3.7,Financial Services,Pune +25 other locations,4.9k
IQVIA,3.7,Clinical Research,Bangalore / Bengaluru +62 other locations,4.8k
CBRE,4.1,Real Estate,Hyderabad / Secunderabad +91 other locations,4.8k
SBI Life Insurance Company,3.7,Insurance,Mumbai +639 other locations,4.8k
TVS Motor,3.9,Automobile,Hosur +338 other locations,4.8k
vivo,4.1,Consumer Electronics & Appliances,Noida +410 other locations,4.8k
NTT Data,3.8,IT Services & Consulting,Bangalore / Bengaluru +77 other locations,4.7k
Persistent Systems,3.6,IT Services & Consulting,Pune +42 other locations,4.7k
Atos,3.8,IT Services & Consulting,Pune +49 other locations,4.7k
